index,lat,lng,Full Location,City,Zipcode
Broadway St at Mt Pleasant St,42.38612937531978,-71.07821387029395,"{'road': 'Broadway', 'neighbourhood': 'East Somerville', 'suburb': 'Charlestown', 'city': 'Somerville', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02145', 'country': 'United States', 'country_code': 'us'}",Somerville,02145
Broadway T Stop,42.343048583900966,-71.05803430091328,"{'house_number': '84', 'road': 'Greenbaum Street', 'suburb': 'South Boston', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02127', 'country': 'United States', 'country_code': 'us'}",Boston,02127
Broadway at Beacham St,42.398427837104165,-71.0637001210736,"{'highway': 'Broadway opp Beacham St', 'road': 'Broadway', 'hamlet': 'Hendersonville', 'town': 'Everett', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02129', 'country': 'United States', 'country_code': 'us'}",Everett,02129
Broadway at Central St,42.395130027107875,-71.09852454341097,"{'amenity': 'Bluebikes - Broadway at Central Street', 'road': 'Broadway', 'neighbourhood': 'Winter Hill', 'city': 'Somerville', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02143', 'country': 'United States', 'country_code': 'us'}",Somerville,02143
Broadway at Gerrish Ave,42.394531,-71.030856,"{'house_number': '601', 'road': 'Broadway', 'neighbourhood': 'Fay Square', 'town': 'Chelsea', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02150', 'country': 'United States', 'country_code': 'us'}",Chelsea,02150
Broadway at Kittie Knox Bike Path,42.36417956498334,-71.08741966400476,"{'building': 'NE36', 'house_number': '105', 'road': 'Broadway', 'neighbourhood': 'The Port', 'suburb': 'East Cambridge', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02142', 'country': 'United States', 'country_code': 'us'}",Cambridge,02142
Broadway at Lynde St,42.39648358247693,-71.06546759905541,"{'road': 'Broadway', 'town': 'Everett', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02129', 'country': 'United States', 'country_code': 'us'}",Everett,02129
Broadway at Maple St,42.41034695488392,-71.05260478926319,"{'amenity': 'BlueBikes', 'road': 'Broadway', 'hamlet': 'Glendale', 'town': 'Everett', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02149', 'country': 'United States', 'country_code': 'us'}",Everett,02149
Brookline Town Hall,42.33376472623494,-71.12046446660315,"{'amenity': 'Brookline Town Hall', 'house_number': '333', 'road': 'Washington Street', 'neighbourhood': 'Brookline Village Commercial District', 'town': 'Brookline', 'county': 'Norfolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02445', 'country': 'United States', 'country_code': 'us'}",Brookline,02445
Brookline Village - Station Street at MBTA,42.33274392304887,-71.11626680949485,"{'road': 'Pearl Street', 'neighbourhood': 'Brookline Village', 'town': 'Brookline', 'county': 'Norfolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02120', 'country': 'United States', 'country_code': 'us'}",Brookline,02120
