index,lat,lng,City
Galileo Galilei Way at Main Street,42.363003781560096,-71.08974037706501,Cambridge
Gallivan Blvd at Adams St,42.282920362701525,-71.05468421498185,Boston
Geiger Gibson Community Health Center,42.31886468217537,-71.04536797860419,Boston
Gilman Square T at Medford St,42.386696071,-71.094642566,Somerville
Glendale Square (Ferry St at Broadway),42.41422827996996,-71.04479543879907,Everett
Glendon St at Condor St,42.38240377674137,-71.03024303913116,Boston
Goodhue St at Grove St,42.520897,-70.910528,Salem
Gore Street at Lambert Street,42.373079797934935,-71.08634233665725,Cambridge
Gove St at Orleans St,42.37057753242139,-71.03558540113227,Boston
Government Center - Cambridge St at Court St,42.3598253979878,-71.05979576244862,Boston
Graham and Parks School – Linnaean St at Walker St,42.38294430172271,-71.12449831038248,Cambridge
Gramsdorf Playground,42.4081462435,-71.04292275200001,Everett
Grand Union Blvd at Revolution Dr,42.391658,-71.08071684837341,Somerville
Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Boston
Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Boston
Grove St at Community Path,42.3963939882275,-71.12009140103012,Somerville
HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.3374174845973,-71.10286116600037,Boston
Haines Square,42.423331368452885,-71.09124541293568,Medford
Hale Park,42.41530115601603,-71.0528094766972,Everett
Hancock St at Pleasant St,42.30981924861789,-71.06019938382815,Boston
Harris Park,42.41081837243052,-71.08152866385353,Medford
Harrison Ave at Bennet St,42.34942609892521,-71.06209959843909,Boston
Harrison Ave at E. Dedham St,42.339194,-71.06975,Boston
Harrison Ave at Mullins Way,42.34521562115022,-71.0638403149278,Boston
Harvard Ave at Brainerd Rd,42.34953016890375,-71.13022770741735,Boston
Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,Cambridge
Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Cambridge
Harvard Square at Brattle St / Eliot St,42.373328798874056,-71.12098601080106,Cambridge
Harvard Square at Mass Ave/ Dunster,42.3731927235,-71.118521735,Cambridge
Harvard St and Stedman St,42.34437345800255,-71.12485009434238,Brookline
Harvard St at Greene-Rose Heritage Park,42.36599403333719,-71.09519629757249,Cambridge
Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,Boston
Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,Cambridge
Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Cambridge
Harvard University Gund Hall at Quincy St / Kirkland St,42.376387239,-71.11403095899999,Cambridge
Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Cambridge
Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Cambridge
Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.3692215594296,-71.11694857484258,Cambridge
Hawthorne Boulevard,42.5223714,-70.8903331,Salem
Hayes Square - Vine St at Moulton St,42.3770021655,-71.05657232749999,Boston
Hickey Park,42.424981,-71.098973,Medford
High St at Cypress St,42.32460037224705,-71.12136191147451,Brookline
Honan Library,42.36027370454934,-71.12852452327388,Boston
Hood Park,42.38004534693313,-71.0730457305908,Boston
Hormel Stadium,42.40721644126376,-71.09651505947113,Medford
Huntington Ave at Mass Art,42.336585554561154,-71.0988699646623,Boston
Huron Ave At Vassal Lane,42.381632171950585,-71.1342594529919,Cambridge
Hyde Park Ave at Arlington St,42.26286746177123,-71.12163126468657,Boston
Hyde Park Ave at Walk Hill St,42.29606704649873,-71.11601199963843,Boston
Hyde Park Library,42.2568376,-71.122509,Boston
Hyde Square - Barbara St at Centre St,42.32164815711976,-71.10994560533557,Boston
Hyde Square - Centre St at Perkins St,42.32176525723952,-71.1001680795016,Boston
ID Building East,42.344827,-71.028664,Boston
ID Building West,42.344796,-71.031614,Boston
Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Boston
Inman Square at Springfield St.,42.37426713524931,-71.10026478767395,Cambridge
Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,Cambridge
Innovation Lab - 125 Western Ave at Batten Way,42.36371276003581,-71.12459778785706,Boston
JFK Crossing at Harvard St. / Thorndike St.,42.346551241753566,-71.1283321143128,Brookline
JFK/UMass T Stop,42.32033973515723,-71.05118036270142,Boston
Jackson Square T Stop,42.32293117195949,-71.10014140605927,Boston
Jamaica St at South St,42.3060456272408,-71.11570891001975,Boston
Jersey St. at Boylston St.,42.3446808403874,-71.09785348176956,Boston
John Ahern Field at Kennedy-Longfellow School,42.36903566594827,-71.08630959910442,Cambridge
Kearins Playground,42.40616124132245,-71.06041654944418,Everett
Kendall Street,42.36349550821495,-71.08209022872524,Cambridge
Kendall T,42.362340635456206,-71.08506512630848,Cambridge
Kenmore Square,42.348716017,-71.096893637,Boston
Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,Cambridge
Knoll St at Centre St,42.29376656473529,-71.1365658044815,Boston
Lafayette Square at Mass Ave / Main St / Columbia St,42.36341171452173,-71.10053750885533,Cambridge
Lafayette at Leach St,42.51142784358897,-70.89183300733566,Salem
Landmark Center - Brookline Ave at Park Dr,42.34369055719748,-71.10235286881107,Boston
Langley Lot,42.330528,-71.192861,Newton
Lansdowne T Stop,42.34734473177431,-71.1001680795016,Boston
Lechmere Station at Cambridge St / First St,42.370677,-71.076529,Cambridge
Lenox St at Kendall St,42.337493769169285,-71.08244374414178,Boston
Lesley University,42.38663766022528,-71.11910408755304,Cambridge
Lewis Mall Wharf,42.365678711213775,-71.04030132293701,Boston
Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Boston
Lincoln St at Empire St,42.3576523685,-71.1285402285,Boston
Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,Cambridge
Linwood St at Minuteman Bikeway,42.40933763159079,-71.14911660113683,Arlington
Logan Park,42.41799446695187,-71.0965463171496,Medford
Longwood Ave at Binney St,42.338557657,-71.10652278399999,Boston
Lower Cambridgeport at Magazine St / Riverside Rd,42.357218503176526,-71.1138716340065,Cambridge
MIT Carleton St at Amherst St,42.36054174140606,-71.08669817447662,Cambridge
MIT Hayward St at Amherst St,42.36089013976651,-71.08549373403778,Cambridge
MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,Cambridge
MIT Stata Center at Vassar St / Main St,42.36207634024955,-71.09118193392968,Cambridge
MIT Vassar St,42.35560121327927,-71.10394477844238,Cambridge
MIT at Mass Ave / Amherst St,42.3581,-71.093198,Cambridge
MLK Blvd at Washington St,42.32143814183195,-71.09126061201096,Boston
Magoun Square at Trum Field,42.39779323380625,-71.10599240682691,Somerville
Main St at Austin St,42.375603,-71.064608,Boston
Main St at Baldwin St,42.380857,-71.070629,Boston
Main St at Beacon St,42.41072713868097,-71.06266822675025,Everett
Main St at Brooks Park,42.411709,-71.110444,Medford
Main St at Thompson Sq,42.374878467440965,-71.06383498767171,Boston
Main Street at Carter Street,42.406151572663504,-71.0604074504954,Everett
Main Street/Albany Street/Technology Square,42.3629016,-71.0915669,Cambridge
Malden Center T Station,42.426541,-71.073179,Malden
Malden High School,42.426537658440544,-71.06393694877625,Malden
Marion St at Harvard St,42.34012242696642,-71.12070563810447,Brookline
Marion St at White St,42.38068959785659,-71.03907653249547,Boston
Martha Eliot Health Center,42.324258042500006,-71.10190871200001,Boston
Mass Ave T Station,42.34135615767354,-71.08336953450817,Boston
Mass Ave at Albany St,42.36135837662249,-71.09670273977825,Cambridge
Mass Ave at Broadway,42.414202132001854,-71.15051883389242,Arlington
Mass Ave at Grafton St,42.40726052447951,-71.14382132425817,Arlington
Mass Ave at Hadley/Walden,42.39120971915856,-71.12260755160605,Cambridge
Mass Ave/Lafayette Square,42.36355597894699,-71.10042019024046,Cambridge
Massachusetts Ave at Columbus Ave,42.340889049,-71.08165363500001,Boston
Mattapan Library,42.277520522,-71.093256396,Boston
Mattapan T Stop,42.2679641165,-71.0935981655,Boston
Maverick Square - Lewis Mall,42.36884408289836,-71.03977829217911,Boston
Maverick St at Massport Path,42.36774122306014,-71.0333597474255,Boston
Mayor Salvo Path at Mill St,42.51803519796769,-70.89570075273514,Salem
Meaney Playground - Pleasant St at E Cottage St,42.31868859516005,-71.05883909080859,Boston
Meaney Playground - Pleasant st at E Cottage St,42.318703,-71.053554,Boston
Medford Sq - Riverside Ave at River St,42.417724,-71.108102,Medford
Medford St at Charlestown BCYF,42.380429474494896,-71.06055721676967,Boston
Melnea Cass Blvd at Hampden St,42.330982,-71.10984160567114,Boston
Mobile Temporary Station,42.35967536371111,-71.10160055174674,Cambridge
Mobile Temporary Station 1,42.35147849233603,-71.044162200742,Boston
Moore Youth Center,42.363539,-71.111698,Cambridge
Morgan Ave at North First St,42.37197725963389,-71.07585847383234,Cambridge
Morton St T,42.280725142920296,-71.08617242434775,Boston
Morton St at Gallivan Blvd,42.278747,-71.080286,Boston
